ACCIONA,195.400,-0.20,-0.40,16.24,196.800,195.200,3134,10719,09:14,2022-04-21 09:30:26.339221
ACERINOX,10.080,0.00,0.00,-11.46,10.130,10.000,83469,2727,09:13,2022-04-21 09:30:26.339221
ACS,24.990,0.28,0.07,8.13,25.150,24.960,52124,7364,09:14,2022-04-21 09:30:26.339221
AENA,152.050,1.47,2.20,9.55,153.000,150.250,9228,22808,09:14,2022-04-21 09:30:26.339221
ALMIRALL,12.100,-0.74,-0.09,7.08,12.240,12.060,16231,2175,09:11,2022-04-21 09:30:26.339221
AMADEUS IT GROUP,58.780,1.34,0.78,-1.44,58.940,57.980,33731,26480,09:13,2022-04-21 09:30:26.339221
ARCELORMITTAL,30.440,1.50,0.45,7.28,30.440,29.950,49998,28547,09:14,2022-04-21 09:30:26.339221
BANCO SABADELL,0.773,0.65,0.00,35.76,0.780,0.771,2383640,4350,09:13,2022-04-21 09:30:26.339221
BANKINTER,5.408,0.19,0.01,21.30,5.430,5.384,145975,4861,09:14,2022-04-21 09:30:26.339221
BBVA,5.120,0.57,0.03,1.99,5.133,5.108,518972,34140,09:14,2022-04-21 09:30:26.339221
CAIXABANK,3.136,0.06,0.00,36.25,3.160,3.114,680292,25278,09:14,2022-04-21 09:30:26.339221
CELLNEX TELECOM,45.170,-0.33,-0.15,-11.74,45.300,45.000,27527,30685,09:13,2022-04-21 09:30:26.339221
CIE AUTOMOTIVE,20.560,0.29,0.06,-23.85,20.560,20.460,1748,2520,09:09,2022-04-21 09:30:26.339221
COLONIAL,8.215,0.00,0.00,-0.42,8.240,8.180,7325,4433,09:14,2022-04-21 09:30:26.339221
ENAGAS,20.880,-0.81,-0.17,2.35,21.080,20.880,31071,5470,09:14,2022-04-21 09:30:26.339221
ENDESA,19.865,0.20,0.04,-1.66,19.880,19.800,18614,21032,09:14,2022-04-21 09:30:26.339221
FERROVIAL,25.520,0.71,0.18,-7.40,25.560,25.340,16914,18722,09:14,2022-04-21 09:30:26.339221
FLUIDRA,25.680,0.63,0.16,-27.05,25.780,25.600,14762,5024,09:07,2022-04-21 09:30:26.339221
GRIFOLS,16.265,-0.46,-0.08,-3.61,16.390,16.120,89326,6931,09:14,2022-04-21 09:30:26.339221
IAG,1.800,3.81,0.07,5.63,1.804,1.750,4600632,8949,09:14,2022-04-21 09:30:26.339221
IBERDROLA,10.600,-0.19,-0.02,3.54,10.645,10.580,287537,68238,09:14,2022-04-21 09:30:26.339221
INDITEX,21.010,0.72,0.15,-26.36,21.040,20.860,121252,65481,09:14,2022-04-21 09:30:26.339221
INDRA,9.510,0.96,0.09,-0.11,9.515,9.420,25313,1680,09:11,2022-04-21 09:30:26.339221
MAPFRE,1.945,0.41,0.01,7.73,1.948,1.938,263938,5990,09:14,2022-04-21 09:30:26.339221
MELIÁ HOTELS,7.110,0.21,0.02,18.46,7.140,6.790,187053,1567,09:12,2022-04-21 09:30:26.339221
MERLIN PROP,10.850,0.00,0.00,13.38,10.890,10.800,35769,5097,09:09,2022-04-21 09:30:26.339221
NATURGY,29.350,0.48,0.14,4.66,29.390,29.190,8408,28458,09:13,2022-04-21 09:30:26.339221
PHARMA MAR,76.820,-0.16,-0.12,34.72,77.360,76.760,1696,1410,09:14,2022-04-21 09:30:26.339221
RED ELÉCTRICA,19.025,-0.52,-0.10,1.45,19.155,19.025,20647,10294,09:14,2022-04-21 09:30:26.339221
REPSOL,13.725,0.70,0.10,35.16,13.780,13.650,237441,21519,09:14,2022-04-21 09:30:26.339221
ROVI,64.000,0.08,0.05,-13.28,64.300,63.500,6022,3588,09:14,2022-04-21 09:30:26.339221
SANTANDER,3.207,-0.17,-0.01,9.05,3.225,3.205,1946156,55603,09:14,2022-04-21 09:30:26.339221
SIEMENS GAMESA,15.840,-0.13,-0.02,-24.82,15.920,15.610,83089,10789,09:14,2022-04-21 09:30:26.339221
SOLARIA,21.820,-0.77,-0.17,27.45,21.900,21.680,33437,2726,09:14,2022-04-21 09:30:26.339221
TELEFÓNICA,4.909,0.49,0.02,27.44,4.932,4.866,1251458,28369,09:14,2022-04-21 09:30:26.339221
ACCIONA,194.200,-0.82,-1.60,15.53,196.800,192.000,34268,10653,10:13,2022-04-21 10:30:14.494175
ACERINOX,10.130,0.50,0.05,-11.02,10.175,10.000,228264,2741,10:13,2022-04-21 10:30:14.494175
ACS,25.070,0.60,0.15,8.48,25.150,24.960,71102,7387,10:12,2022-04-21 10:30:14.494175
AENA,152.850,2.00,3.00,10.12,153.200,150.250,15846,22928,10:14,2022-04-21 10:30:14.494175
ALMIRALL,12.120,-0.57,-0.07,7.26,12.240,12.060,38375,2179,10:00,2022-04-21 10:30:14.494175
AMADEUS IT GROUP,60.040,3.52,2.04,0.67,60.040,57.980,124295,27048,10:14,2022-04-21 10:30:14.494175
ARCELORMITTAL,30.630,2.13,0.64,7.95,30.745,29.950,115335,28725,10:14,2022-04-21 10:30:14.494175
BANCO SABADELL,0.783,1.98,0.02,37.55,0.785,0.771,6048950,4407,10:14,2022-04-21 10:30:14.494175
BANKINTER,5.610,3.93,0.21,25.83,5.620,5.384,1376749,5043,10:13,2022-04-21 10:30:14.494175
BBVA,5.136,0.88,0.05,2.31,5.154,5.108,1411197,34246,10:14,2022-04-21 10:30:14.494175
CAIXABANK,3.134,0.00,0.00,36.16,3.160,3.114,2137240,25262,10:14,2022-04-21 10:30:14.494175
CELLNEX TELECOM,45.930,1.35,0.61,-10.26,45.970,45.000,117199,31202,10:14,2022-04-21 10:30:14.494175
CIE AUTOMOTIVE,20.740,1.17,0.24,-23.18,20.760,20.460,11097,2542,10:14,2022-04-21 10:30:14.494175
COLONIAL,8.285,0.85,0.07,0.42,8.295,8.180,41288,4471,10:07,2022-04-21 10:30:14.494175
ENAGAS,20.930,-0.57,-0.12,2.60,21.080,20.870,73524,5483,10:12,2022-04-21 10:30:14.494175
ENDESA,20.010,0.93,0.18,-0.94,20.070,19.800,81366,21186,10:14,2022-04-21 10:30:14.494175
FERROVIAL,25.580,0.95,0.24,-7.18,25.610,25.340,57589,18766,10:14,2022-04-21 10:30:14.494175
FLUIDRA,25.900,1.49,0.38,-26.42,25.920,25.600,48571,5067,10:14,2022-04-21 10:30:14.494175
GRIFOLS,16.410,0.43,0.07,-2.76,16.410,16.120,234746,6993,10:14,2022-04-21 10:30:14.494175
IAG,1.797,3.63,0.06,5.46,1.810,1.750,10312571,8934,10:14,2022-04-21 10:30:14.494175
IBERDROLA,10.700,0.75,0.08,4.52,10.735,10.580,1034263,68882,10:14,2022-04-21 10:30:14.494175
INDITEX,21.050,0.91,0.19,-26.22,21.120,20.860,390250,65606,10:14,2022-04-21 10:30:14.494175
INDRA,9.525,1.11,0.10,0.05,9.550,9.420,113937,1683,10:14,2022-04-21 10:30:14.494175
MAPFRE,1.944,0.36,0.01,7.67,1.948,1.937,484004,5987,10:13,2022-04-21 10:30:14.494175
MELIÁ HOTELS,7.195,1.41,0.10,19.88,7.215,6.790,368555,1586,10:13,2022-04-21 10:30:14.494175
MERLIN PROP,10.870,0.18,0.02,13.58,10.890,10.800,93017,5106,10:14,2022-04-21 10:30:14.494175
NATURGY,29.270,0.21,0.06,4.38,29.390,29.150,16996,28381,10:13,2022-04-21 10:30:14.494175
PHARMA MAR,76.900,-0.05,-0.04,34.86,77.360,76.200,7218,1411,10:13,2022-04-21 10:30:14.494175
RED ELÉCTRICA,18.980,-0.76,-0.15,1.21,19.155,18.965,129473,10270,10:14,2022-04-21 10:30:14.494175
REPSOL,13.670,0.29,0.04,34.61,13.780,13.650,515950,21433,10:14,2022-04-21 10:30:14.494175
ROVI,64.500,0.86,0.55,-12.60,64.600,63.500,20294,3616,10:14,2022-04-21 10:30:14.494175
SANTANDER,3.215,0.09,0.00,9.34,3.230,3.205,5393420,55750,10:14,2022-04-21 10:30:14.494175
SIEMENS GAMESA,15.920,0.38,0.06,-24.44,16.010,15.610,305171,10844,10:14,2022-04-21 10:30:14.494175
SOLARIA,22.500,2.32,0.51,31.43,22.520,21.680,141570,2811,10:14,2022-04-21 10:30:14.494175
TELEFÓNICA,4.880,-0.10,-0.01,26.69,4.932,4.866,2318281,28202,10:14,2022-04-21 10:30:14.494175
ACCIONA,192.700,-1.58,-3.10,14.63,196.800,192.000,42953,10571,11:14,2022-04-21 11:30:01.758979
ACERINOX,10.185,1.04,0.11,-10.54,10.190,10.000,328771,2756,11:13,2022-04-21 11:30:01.758979
ACS,24.990,0.28,0.07,8.13,25.150,24.960,129417,7364,11:14,2022-04-21 11:30:01.758979
AENA,153.000,2.10,3.15,10.23,153.300,150.250,19987,22950,11:12,2022-04-21 11:30:01.758979
ALMIRALL,12.170,-0.16,-0.02,7.70,12.240,12.060,43833,2188,11:03,2022-04-21 11:30:01.758979
AMADEUS IT GROUP,60.380,4.10,2.38,1.24,60.540,57.980,177833,27201,11:14,2022-04-21 11:30:01.758979
ARCELORMITTAL,30.760,2.57,0.77,8.41,30.790,29.950,161696,28847,11:14,2022-04-21 11:30:01.758979
BANCO SABADELL,0.791,3.05,0.02,38.99,0.792,0.771,11622842,4453,11:14,2022-04-21 11:30:01.758979
BANKINTER,5.598,3.71,0.20,25.56,5.622,5.384,1791164,5032,11:14,2022-04-21 11:30:01.758979
BBVA,5.171,1.57,0.08,3.01,5.171,5.108,2116228,34480,11:14,2022-04-21 11:30:01.758979
CAIXABANK,3.155,0.67,0.02,37.07,3.160,3.114,3098447,25431,11:14,2022-04-21 11:30:01.758979
CELLNEX TELECOM,45.690,0.82,0.37,-10.73,45.980,45.000,187012,31038,11:14,2022-04-21 11:30:01.758979
CIE AUTOMOTIVE,20.800,1.46,0.30,-22.96,20.820,20.460,65610,2549,11:07,2022-04-21 11:30:01.758979
COLONIAL,8.310,1.16,0.10,0.73,8.320,8.180,62399,4484,11:10,2022-04-21 11:30:01.758979
ENAGAS,20.760,-1.38,-0.29,1.76,21.080,20.740,138438,5439,11:14,2022-04-21 11:30:01.758979
ENDESA,19.955,0.66,0.13,-1.21,20.070,19.800,114504,21127,11:14,2022-04-21 11:30:01.758979
FERROVIAL,25.420,0.32,0.08,-7.76,25.640,25.340,93855,18648,11:14,2022-04-21 11:30:01.758979
FLUIDRA,25.980,1.80,0.46,-26.19,26.020,25.600,62029,5082,11:14,2022-04-21 11:30:01.758979
GRIFOLS,16.545,1.25,0.20,-1.96,16.600,16.120,378456,7050,11:14,2022-04-21 11:30:01.758979
IAG,1.827,5.39,0.09,7.25,1.830,1.750,14533673,9085,11:14,2022-04-21 11:30:01.758979
IBERDROLA,10.600,-0.19,-0.02,3.54,10.735,10.580,1756306,68238,11:13,2022-04-21 11:30:01.758979
INDITEX,21.070,1.01,0.21,-26.15,21.170,20.860,579724,65668,11:14,2022-04-21 11:30:01.758979
INDRA,9.575,1.65,0.15,0.58,9.575,9.420,153269,1691,11:14,2022-04-21 11:30:01.758979
MAPFRE,1.951,0.72,0.01,8.06,1.953,1.937,967801,6008,11:14,2022-04-21 11:30:01.758979
MELIÁ HOTELS,7.260,2.33,0.17,20.96,7.260,6.790,488819,1600,11:14,2022-04-21 11:30:01.758979
MERLIN PROP,10.900,0.46,0.05,13.90,10.910,10.800,255332,5121,11:10,2022-04-21 11:30:01.758979
NATURGY,28.980,-0.79,-0.23,3.34,29.390,28.940,27720,28099,11:14,2022-04-21 11:30:01.758979
PHARMA MAR,76.460,-0.62,-0.48,34.09,77.360,76.200,14947,1403,11:13,2022-04-21 11:30:01.758979
RED ELÉCTRICA,18.715,-2.14,-0.41,-0.20,19.155,18.690,220822,10126,11:14,2022-04-21 11:30:01.758979
REPSOL,13.635,0.04,0.01,34.27,13.780,13.620,737482,21378,11:14,2022-04-21 11:30:01.758979
ROVI,64.450,0.78,0.50,-12.67,64.750,63.500,34121,3614,11:13,2022-04-21 11:30:01.758979
SANTANDER,3.210,-0.06,-0.00,9.17,3.230,3.196,9170785,55663,11:14,2022-04-21 11:30:01.758979
SIEMENS GAMESA,15.695,-1.04,-0.16,-25.51,16.020,15.610,422242,10691,11:14,2022-04-21 11:30:01.758979
SOLARIA,22.010,0.09,0.02,28.56,22.520,21.680,189336,2750,11:14,2022-04-21 11:30:01.758979
TELEFÓNICA,4.898,0.27,0.01,27.15,4.932,4.866,2993453,28306,11:14,2022-04-21 11:30:01.758979
ACCIONA,193.300,-1.28,-2.50,14.99,196.800,192.000,50089,10604,12:09,2022-04-21 12:30:05.521578
ACERINOX,10.210,1.29,0.13,-10.32,10.220,10.000,424633,2762,12:11,2022-04-21 12:30:05.521578
ACS,24.990,0.28,0.07,8.13,25.150,24.960,165458,7364,12:13,2022-04-21 12:30:05.521578
AENA,152.600,1.84,2.75,9.94,153.300,150.250,22760,22890,12:14,2022-04-21 12:30:05.521578
ALMIRALL,12.180,-0.08,-0.01,7.79,12.240,12.060,55797,2190,12:11,2022-04-21 12:30:05.521578
AMADEUS IT GROUP,60.280,3.93,2.28,1.07,60.660,57.980,216307,27156,12:13,2022-04-21 12:30:05.521578
ARCELORMITTAL,30.895,3.02,0.91,8.88,30.895,29.950,205025,28974,12:13,2022-04-21 12:30:05.521578
BANCO SABADELL,0.796,3.59,0.03,39.73,0.796,0.771,15297944,4477,12:14,2022-04-21 12:30:05.521578
BANKINTER,5.626,4.22,0.23,26.19,5.626,5.384,2089810,5057,12:14,2022-04-21 12:30:05.521578
BBVA,5.162,1.39,0.07,2.83,5.178,5.108,2651766,34420,12:14,2022-04-21 12:30:05.521578
CAIXABANK,3.150,0.51,0.02,36.86,3.160,3.114,3715207,25391,12:14,2022-04-21 12:30:05.521578
CELLNEX TELECOM,45.610,0.64,0.29,-10.88,45.980,45.000,222651,30984,12:13,2022-04-21 12:30:05.521578
CIE AUTOMOTIVE,20.880,1.85,0.38,-22.67,20.880,20.460,92848,2559,12:14,2022-04-21 12:30:05.521578
COLONIAL,8.335,1.46,0.12,1.03,8.335,8.180,89718,4498,12:14,2022-04-21 12:30:05.521578
ENAGAS,20.730,-1.52,-0.32,1.62,21.080,20.720,183098,5431,12:14,2022-04-21 12:30:05.521578
ENDESA,19.895,0.35,0.07,-1.51,20.070,19.800,141759,21064,12:12,2022-04-21 12:30:05.521578
FERROVIAL,25.680,1.34,0.34,-6.82,25.710,25.340,148481,18839,12:12,2022-04-21 12:30:05.521578
FLUIDRA,26.160,2.51,0.64,-25.68,26.180,25.600,82358,5118,12:14,2022-04-21 12:30:05.521578
GRIFOLS,16.885,3.34,0.55,0.06,16.905,16.120,535554,7195,12:14,2022-04-21 12:30:05.521578
IAG,1.840,6.11,0.11,7.98,1.844,1.750,18188248,9148,12:14,2022-04-21 12:30:05.521578
IBERDROLA,10.590,-0.28,-0.03,3.44,10.735,10.580,2307306,68174,12:14,2022-04-21 12:30:05.521578
INDITEX,21.160,1.44,0.30,-25.83,21.190,20.860,728973,65948,12:14,2022-04-21 12:30:05.521578
INDRA,9.580,1.70,0.16,0.63,9.580,9.420,170431,1692,12:06,2022-04-21 12:30:05.521578
MAPFRE,1.953,0.83,0.02,8.17,1.957,1.937,1194400,6014,12:14,2022-04-21 12:30:05.521578
MELIÁ HOTELS,7.260,2.33,0.17,20.96,7.275,6.790,566312,1600,12:12,2022-04-21 12:30:05.521578
MERLIN PROP,10.890,0.37,0.04,13.79,10.910,10.800,284846,5116,12:05,2022-04-21 12:30:05.521578
NATURGY,28.960,-0.86,-0.25,3.27,29.390,28.930,36963,28080,12:14,2022-04-21 12:30:05.521578
PHARMA MAR,76.680,-0.34,-0.26,34.48,77.360,76.200,17781,1407,12:09,2022-04-21 12:30:05.521578
RED ELÉCTRICA,18.740,-2.01,-0.39,-0.07,19.155,18.660,285589,10140,12:14,2022-04-21 12:30:05.521578
REPSOL,13.615,-0.11,-0.02,34.07,13.780,13.605,983099,21347,12:12,2022-04-21 12:30:05.521578
ROVI,64.750,1.25,0.80,-12.26,64.800,63.500,43124,3630,12:13,2022-04-21 12:30:05.521578
SANTANDER,3.210,-0.08,-0.00,9.15,3.230,3.196,11097901,55655,12:14,2022-04-21 12:30:05.521578
SIEMENS GAMESA,15.805,-0.35,-0.05,-24.99,16.020,15.610,504709,10765,12:14,2022-04-21 12:30:05.521578
SOLARIA,21.990,0.00,0.00,28.45,22.520,21.680,234160,2748,12:14,2022-04-21 12:30:05.521578
TELEFÓNICA,4.909,0.49,0.02,27.44,4.932,4.866,3463479,28369,12:14,2022-04-21 12:30:05.521578
ACCIONA,192.000,-1.94,-3.80,14.22,196.800,192.000,63552,10532,13:14,2022-04-21 13:30:01.425493
ACERINOX,10.240,1.59,0.16,-10.06,10.250,10.000,496533,2770,13:11,2022-04-21 13:30:01.425493
ACS,25.030,0.44,0.11,8.31,25.150,24.960,201627,7375,13:14,2022-04-21 13:30:01.425493
AENA,153.050,2.14,3.20,10.27,153.400,150.250,29384,22958,13:14,2022-04-21 13:30:01.425493
ALMIRALL,12.060,-1.07,-0.13,6.73,12.250,12.020,132423,2168,13:13,2022-04-21 13:30:01.425493
AMADEUS IT GROUP,60.540,4.38,2.54,1.51,60.660,57.980,257428,27273,13:14,2022-04-21 13:30:01.425493
ARCELORMITTAL,30.910,3.07,0.92,8.93,30.930,29.950,243936,28988,13:13,2022-04-21 13:30:01.425493
BANCO SABADELL,0.797,3.80,0.03,40.01,0.798,0.771,18206658,4486,13:14,2022-04-21 13:30:01.425493
BANKINTER,5.654,4.74,0.26,26.82,5.664,5.384,2554331,5082,13:14,2022-04-21 13:30:01.425493
BBVA,5.167,1.49,0.08,2.93,5.178,5.108,3105725,34453,13:14,2022-04-21 13:30:01.425493
CAIXABANK,3.161,0.86,0.03,37.33,3.168,3.114,4614899,25480,13:14,2022-04-21 13:30:01.425493
CELLNEX TELECOM,45.570,0.55,0.25,-10.96,45.980,45.000,260883,30957,13:13,2022-04-21 13:30:01.425493
CIE AUTOMOTIVE,20.980,2.34,0.48,-22.30,20.980,20.460,120649,2571,13:13,2022-04-21 13:30:01.425493
COLONIAL,8.320,1.28,0.10,0.85,8.360,8.180,136307,4490,13:13,2022-04-21 13:30:01.425493
ENAGAS,20.760,-1.38,-0.29,1.76,21.080,20.720,213125,5439,13:12,2022-04-21 13:30:01.425493
ENDESA,19.940,0.58,0.11,-1.29,20.070,19.800,184065,21112,13:12,2022-04-21 13:30:01.425493
FERROVIAL,25.680,1.34,0.34,-6.82,25.730,25.340,189939,18839,13:10,2022-04-21 13:30:01.425493
FLUIDRA,26.240,2.82,0.72,-25.45,26.260,25.600,106577,5133,13:14,2022-04-21 13:30:01.425493
GRIFOLS,16.725,2.36,0.39,-0.89,16.905,16.120,651573,7127,13:13,2022-04-21 13:30:01.425493
IAG,1.848,6.57,0.11,8.45,1.850,1.750,21008516,9187,13:14,2022-04-21 13:30:01.425493
IBERDROLA,10.615,-0.05,-0.01,3.69,10.735,10.575,2802809,68335,13:14,2022-04-21 13:30:01.425493
INDITEX,21.180,1.53,0.32,-25.76,21.280,20.860,1026842,66011,13:12,2022-04-21 13:30:01.425493
INDRA,9.575,1.65,0.15,0.58,9.610,9.420,218197,1691,13:10,2022-04-21 13:30:01.425493
MAPFRE,1.954,0.88,0.02,8.22,1.958,1.937,1669057,6017,13:14,2022-04-21 13:30:01.425493
MELIÁ HOTELS,7.310,3.03,0.22,21.79,7.310,6.790,683778,1611,13:14,2022-04-21 13:30:01.425493
MERLIN PROP,10.900,0.46,0.05,13.90,10.930,10.800,354388,5121,13:14,2022-04-21 13:30:01.425493
NATURGY,29.020,-0.65,-0.19,3.48,29.390,28.920,62561,28138,13:10,2022-04-21 13:30:01.425493
PHARMA MAR,76.640,-0.39,-0.30,34.41,77.360,76.200,20856,1407,13:14,2022-04-21 13:30:01.425493
RED ELÉCTRICA,18.780,-1.80,-0.34,0.14,19.155,18.660,322537,10161,13:11,2022-04-21 13:30:01.425493
REPSOL,13.655,0.18,0.02,34.47,13.780,13.585,1242473,21410,13:14,2022-04-21 13:30:01.425493
ROVI,64.850,1.41,0.90,-12.13,65.200,63.500,54068,3636,13:14,2022-04-21 13:30:01.425493
SANTANDER,3.207,-0.14,-0.00,9.08,3.230,3.196,13430901,55620,13:14,2022-04-21 13:30:01.425493
SIEMENS GAMESA,15.895,0.22,0.04,-24.56,16.020,15.610,574339,10827,13:11,2022-04-21 13:30:01.425493
SOLARIA,22.100,0.50,0.11,29.09,22.520,21.680,314084,2761,13:12,2022-04-21 13:30:01.425493
TELEFÓNICA,4.915,0.61,0.03,27.60,4.932,4.866,4043098,28404,13:14,2022-04-21 13:30:01.425493
ACCIONA,191.800,-2.04,-4.00,14.10,196.800,191.700,69550,10522,14:11,2022-04-21 14:30:00.633231
ACERINOX,10.260,1.79,0.18,-9.88,10.290,10.000,672156,2776,14:14,2022-04-21 14:30:00.633231
ACS,25.000,0.32,0.08,8.18,25.150,24.960,228733,7367,14:14,2022-04-21 14:30:00.633231
AENA,152.700,1.90,2.85,10.01,153.400,150.250,33938,22905,14:13,2022-04-21 14:30:00.633231
ALMIRALL,12.070,-0.98,-0.12,6.81,12.250,11.980,163568,2170,14:08,2022-04-21 14:30:00.633231
AMADEUS IT GROUP,60.560,4.41,2.56,1.54,60.660,57.980,269896,27282,14:13,2022-04-21 14:30:00.633231
ARCELORMITTAL,30.905,3.05,0.92,8.92,31.070,29.950,304376,28983,14:14,2022-04-21 14:30:00.633231
BANCO SABADELL,0.798,3.85,0.03,40.08,0.800,0.771,20741920,4488,14:14,2022-04-21 14:30:00.633231
BANKINTER,5.668,5.00,0.27,27.13,5.680,5.384,2827177,5095,14:13,2022-04-21 14:30:00.633231
BBVA,5.163,1.41,0.07,2.85,5.178,5.108,3438786,34426,14:14,2022-04-21 14:30:00.633231
CAIXABANK,3.170,1.15,0.04,37.72,3.174,3.114,5302820,25552,14:13,2022-04-21 14:30:00.633231
CELLNEX TELECOM,45.410,0.20,0.09,-11.27,45.980,45.000,299657,30848,14:14,2022-04-21 14:30:00.633231
CIE AUTOMOTIVE,21.060,2.73,0.56,-22.00,21.060,20.460,126369,2581,14:06,2022-04-21 14:30:00.633231
COLONIAL,8.315,1.22,0.10,0.79,8.360,8.180,161245,4487,14:14,2022-04-21 14:30:00.633231
ENAGAS,20.710,-1.62,-0.34,1.52,21.080,20.710,243106,5426,14:14,2022-04-21 14:30:00.633231
ENDESA,19.895,0.35,0.07,-1.51,20.070,19.800,202106,21064,14:14,2022-04-21 14:30:00.633231
FERROVIAL,25.710,1.46,0.37,-6.71,25.730,25.340,214983,18861,14:14,2022-04-21 14:30:00.633231
FLUIDRA,26.780,4.94,1.26,-23.92,26.900,25.600,160978,5239,14:14,2022-04-21 14:30:00.633231
